Country,ISO3 Code,Date,Price (EUR/MWhe)
Bulgaria,BGR,2018-09-01,47.21
Bulgaria,BGR,2018-10-01,52.01
Bulgaria,BGR,2018-11-01,45.58
Bulgaria,BGR,2018-12-01,57.22
Bulgaria,BGR,2019-01-01,67.38
Bulgaria,BGR,2019-02-01,39.65
Bulgaria,BGR,2019-03-01,35.14
Bulgaria,BGR,2019-04-01,41.59
Bulgaria,BGR,2019-05-01,41.63
Bulgaria,BGR,2019-06-01,40.49
Bulgaria,BGR,2019-07-01,55.48
Bulgaria,BGR,2019-08-01,52.15
Bulgaria,BGR,2019-09-01,55.3
Bulgaria,BGR,2019-10-01,55.81
Bulgaria,BGR,2019-11-01,41.46
Bulgaria,BGR,2019-12-01,42.51
Bulgaria,BGR,2020-01-01,54.99
Bulgaria,BGR,2020-02-01,41.41
Bulgaria,BGR,2020-03-01,28.27
Bulgaria,BGR,2020-04-01,24.83
Bulgaria,BGR,2020-05-01,23.36
Bulgaria,BGR,2020-06-01,30.5
Bulgaria,BGR,2020-07-01,36.78
Bulgaria,BGR,2020-08-01,37.44
Bulgaria,BGR,2020-09-01,46.21
Bulgaria,BGR,2020-10-01,43.12
Bulgaria,BGR,2020-11-01,47.72
Bulgaria,BGR,2020-12-01,56.76
Bulgaria,BGR,2021-01-01,53.17
Bulgaria,BGR,2021-02-01,46.87
Bulgaria,BGR,2021-03-01,52.08
Bulgaria,BGR,2021-04-01,61.75
Bulgaria,BGR,2021-05-01,60.02
Bulgaria,BGR,2021-06-01,77.16
Bulgaria,BGR,2021-07-01,95.0
Bulgaria,BGR,2021-08-01,111.53
Bulgaria,BGR,2021-09-01,125.07
Bulgaria,BGR,2021-10-01,188.57
Bulgaria,BGR,2021-11-01,208.7
Bulgaria,BGR,2021-12-01,219.75
Bulgaria,BGR,2022-01-01,186.43
Bulgaria,BGR,2022-02-01,187.54
Bulgaria,BGR,2022-03-01,248.88
Bulgaria,BGR,2022-04-01,174.51
Bulgaria,BGR,2022-05-01,201.8
Bulgaria,BGR,2022-06-01,223.16
Bulgaria,BGR,2022-07-01,323.4
Bulgaria,BGR,2022-08-01,433.22
Bulgaria,BGR,2022-09-01,375.13
Bulgaria,BGR,2022-10-01,205.92
Bulgaria,BGR,2022-11-01,220.23
Bulgaria,BGR,2022-12-01,246.56
Bulgaria,BGR,2023-01-01,136.3
Bulgaria,BGR,2023-02-01,142.37
Bulgaria,BGR,2023-03-01,108.43
Bulgaria,BGR,2023-04-01,98.81
Switzerland,CHE,2015-01-01,44.0
Switzerland,CHE,2015-02-01,50.86
Switzerland,CHE,2015-03-01,44.48
Switzerland,CHE,2015-04-01,38.23
Switzerland,CHE,2015-05-01,25.04
Switzerland,CHE,2015-06-01,30.45
Switzerland,CHE,2015-07-01,35.98
Switzerland,CHE,2015-08-01,32.3
Switzerland,CHE,2015-09-01,36.57
Switzerland,CHE,2015-10-01,45.54
Switzerland,CHE,2015-11-01,48.17
Switzerland,CHE,2015-12-01,52.24
Switzerland,CHE,2016-01-01,45.96
Switzerland,CHE,2016-02-01,34.19
Switzerland,CHE,2016-03-01,29.21
Switzerland,CHE,2016-04-01,25.23
Switzerland,CHE,2016-05-01,23.69
Switzerland,CHE,2016-06-01,27.73
Switzerland,CHE,2016-07-01,28.18
Switzerland,CHE,2016-08-01,29.38
Switzerland,CHE,2016-09-01,35.87
Switzerland,CHE,2016-10-01,55.91
Switzerland,CHE,2016-11-01,60.7
Switzerland,CHE,2016-12-01,58.23
Switzerland,CHE,2017-01-01,76.0
Switzerland,CHE,2017-02-01,55.16
Switzerland,CHE,2017-03-01,36.89
Switzerland,CHE,2017-04-01,33.59
Switzerland,CHE,2017-05-01,33.86
Switzerland,CHE,2017-06-01,32.12
Switzerland,CHE,2017-07-01,34.28
Switzerland,CHE,2017-08-01,32.05
Switzerland,CHE,2017-09-01,37.27
Switzerland,CHE,2017-10-01,52.71
Switzerland,CHE,2017-11-01,65.02
Switzerland,CHE,2017-12-01,62.54
Switzerland,CHE,2018-01-01,43.82
Switzerland,CHE,2018-02-01,52.98
Switzerland,CHE,2018-03-01,53.18
Switzerland,CHE,2018-04-01,34.08
Switzerland,CHE,2018-05-01,33.22
Switzerland,CHE,2018-06-01,43.15
Switzerland,CHE,2018-07-01,50.54
Switzerland,CHE,2018-08-01,58.18
Switzerland,CHE,2018-09-01,61.53
Switzerland,CHE,2018-10-01,72.97
Switzerland,CHE,2018-11-01,65.18
Switzerland,CHE,2018-12-01,57.69
Switzerland,CHE,2019-01-01,62.34
Switzerland,CHE,2019-02-01,48.73
Switzerland,CHE,2019-03-01,35.77
Switzerland,CHE,2019-04-01,38.68
Switzerland,CHE,2019-05-01,38.07
Switzerland,CHE,2019-06-01,31.85
Switzerland,CHE,2019-07-01,37.92
Switzerland,CHE,2019-08-01,33.85
Switzerland,CHE,2019-09-01,37.44
Switzerland,CHE,2019-10-01,39.98
Switzerland,CHE,2019-11-01,45.95
Switzerland,CHE,2019-12-01,40.84
Switzerland,CHE,2020-01-01,42.56
Switzerland,CHE,2020-02-01,34.12
Switzerland,CHE,2020-03-01,26.13
Switzerland,CHE,2020-04-01,17.18
Switzerland,CHE,2020-05-01,16.86
Switzerland,CHE,2020-06-01,25.71
Switzerland,CHE,2020-07-01,32.82
Switzerland,CHE,2020-08-01,35.53
Switzerland,CHE,2020-09-01,45.89
Switzerland,CHE,2020-10-01,38.21
Switzerland,CHE,2020-11-01,41.49
Switzerland,CHE,2020-12-01,51.36
Switzerland,CHE,2021-01-01,60.48
Switzerland,CHE,2021-02-01,53.88
Switzerland,CHE,2021-03-01,56.17
Switzerland,CHE,2021-04-01,63.67
Switzerland,CHE,2021-05-01,57.8
Switzerland,CHE,2021-06-01,73.61
Switzerland,CHE,2021-07-01,80.9
Switzerland,CHE,2021-08-01,82.66
Switzerland,CHE,2021-09-01,138.21
Switzerland,CHE,2021-10-01,198.32
Switzerland,CHE,2021-11-01,226.99
Switzerland,CHE,2021-12-01,282.14
Switzerland,CHE,2022-01-01,219.48
Switzerland,CHE,2022-02-01,208.71
Switzerland,CHE,2022-03-01,306.09
Switzerland,CHE,2022-04-01,227.2
Switzerland,CHE,2022-05-01,197.09
Switzerland,CHE,2022-06-01,255.19
Switzerland,CHE,2022-07-01,383.27
Switzerland,CHE,2022-08-01,488.14
Switzerland,CHE,2022-09-01,403.79
Switzerland,CHE,2022-10-01,183.97
Switzerland,CHE,2022-11-01,219.34
Switzerland,CHE,2022-12-01,279.69
Switzerland,CHE,2023-01-01,157.46
Switzerland,CHE,2023-02-01,153.76
Switzerland,CHE,2023-03-01,124.43
Switzerland,CHE,2023-04-01,116.12
Czechia,CZE,2015-01-01,29.47
Czechia,CZE,2015-02-01,36.12
Czechia,CZE,2015-03-01,30.61
Czechia,CZE,2015-04-01,29.84
Czechia,CZE,2015-05-01,25.39
Czechia,CZE,2015-06-01,30.67
Czechia,CZE,2015-07-01,36.7
Czechia,CZE,2015-08-01,32.69
Czechia,CZE,2015-09-01,33.4
Czechia,CZE,2015-10-01,39.08
Czechia,CZE,2015-11-01,35.47
Czechia,CZE,2015-12-01,28.76
Czechia,CZE,2016-01-01,31.89
Czechia,CZE,2016-02-01,23.37
Czechia,CZE,2016-03-01,23.72
Czechia,CZE,2016-04-01,24.69
Czechia,CZE,2016-05-01,24.36
Czechia,CZE,2016-06-01,32.16
Czechia,CZE,2016-07-01,29.48
Czechia,CZE,2016-08-01,27.63
Czechia,CZE,2016-09-01,33.43
Czechia,CZE,2016-10-01,43.48
Czechia,CZE,2016-11-01,40.01
Czechia,CZE,2016-12-01,39.31
Czechia,CZE,2017-01-01,54.31
Czechia,CZE,2017-02-01,40.6
Czechia,CZE,2017-03-01,31.67
Czechia,CZE,2017-04-01,29.63
Czechia,CZE,2017-05-01,33.61
Czechia,CZE,2017-06-01,34.87
Czechia,CZE,2017-07-01,40.25
Czechia,CZE,2017-08-01,34.1
Czechia,CZE,2017-09-01,34.72
Czechia,CZE,2017-10-01,30.35
Czechia,CZE,2017-11-01,40.73
Czechia,CZE,2017-12-01,32.75
Czechia,CZE,2018-01-01,33.12
Czechia,CZE,2018-02-01,41.0
Czechia,CZE,2018-03-01,37.72
Czechia,CZE,2018-04-01,31.81
Czechia,CZE,2018-05-01,34.58
Czechia,CZE,2018-06-01,44.02
Czechia,CZE,2018-07-01,49.73
Czechia,CZE,2018-08-01,57.75
Czechia,CZE,2018-09-01,55.85
Czechia,CZE,2018-10-01,56.18
Czechia,CZE,2018-11-01,58.62
Czechia,CZE,2018-12-01,51.68
Czechia,CZE,2019-01-01,55.38
